step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,TRANSFER,2473.33,81965.02,57349.64,26099.72,28226.0,0
1,PAYMENT,13819.75,5968.5,3423.94,35537.63,42252.11,0
1,CASH_IN,2614.02,8721.57,6682.07,35112.72,36963.88,0
1,TRANSFER,855.97,37622.56,24561.13,12083.15,12426.58,0
1,TRANSFER,12057.96,16774.15,10482.52,3905.22,5376.89,1
1,CASH_OUT,27988.71,34478.35,19406.03,17379.03,31556.46,0
1,DEBIT,2819.5,1910.43,1158.58,31641.64,32348.0,0
1,CASH_OUT,3733.34,16234.65,9407.68,58020.87,60487.32,0
1,TRANSFER,2399.75,968.56,536.07,19592.74,21310.38,0
1,TRANSFER,866.03,15005.41,12569.75,30035.55,30399.62,0
1,CASH_IN,3488.82,4465.78,3503.52,11393.93,14668.65,0
1,PAYMENT,14437.36,51956.31,39136.82,7400.79,11081.99,0
1,DEBIT,34072.36,12518.02,10825.5,35837.4,55223.98,0
1,CASH_OUT,9137.7,17796.96,6223.04,15481.4,18588.06,0
1,PAYMENT,751.66,55227.4,49533.04,7638.83,7789.95,0
1,CASH_IN,1416.59,1395.26,1255.14,6590.35,7884.81,0
1,DEBIT,5850.98,1359.18,1154.26,14865.46,20689.45,0
1,TRANSFER,2193.6,107781.32,84551.78,16075.4,16555.78,0
1,TRANSFER,1826.17,990.54,766.25,12783.7,14504.65,0
1,TRANSFER,734.5,6298.05,5168.25,9333.35,9645.52,0
1,CASH_IN,985.0,13742.76,11433.91,2588.29,3463.34,0
1,CASH_OUT,572.35,9271.99,6750.57,2416.54,2901.85,0
1,TRANSFER,2067.89,10785.47,8488.89,1739.44,3370.46,0
1,CASH_OUT,858.56,5143.46,5061.41,2933.2,3180.23,0
1,PAYMENT,1294.01,2453.59,1725.92,17363.29,18537.0,0
1,PAYMENT,11325.28,6881.86,5660.29,12835.68,23357.37,0
1,CASH_OUT,1795.66,5726.68,4480.16,34416.28,35940.38,0
1,TRANSFER,8153.35,2626.0,1778.3,2751.94,4475.11,0
1,CASH_IN,1080.86,2192.11,1600.75,19676.44,20429.17,0
1,CASH_IN,3981.25,12451.29,7276.56,4031.05,7365.38,0
1,CASH_OUT,37877.0,3112.54,2709.92,31799.43,61534.07,1
1,PAYMENT,4576.09,5502.2,4492.33,10091.32,14001.89,0
1,DEBIT,3886.85,12097.81,10164.3,13584.83,14227.23,0
1,PAYMENT,11555.33,3170.75,2722.87,9748.26,18869.55,0
1,TRANSFER,703.26,3541.46,2274.91,4144.41,4472.98,0
1,CASH_OUT,2803.06,5892.69,3316.73,8546.82,11207.03,0
1,CASH_OUT,35443.31,20289.55,15386.63,7272.75,42156.81,0
1,CASH_OUT,981.31,3651.92,2791.03,7216.83,7685.66,0
1,CASH_OUT,6721.77,9383.97,8521.64,25393.67,28386.34,0
1,CASH_OUT,6739.01,16071.47,11557.4,5641.24,6398.11,0
1,PAYMENT,1128.43,8440.95,7811.57,28606.97,28911.21,0
1,CASH_IN,2802.15,12839.49,10076.93,76717.16,78973.44,0
1,CASH_OUT,893.54,44267.86,35387.94,10889.51,11007.64,0
1,PAYMENT,502.34,7564.4,6401.03,42840.17,42924.14,0
1,CASH_IN,9534.47,2164.47,1813.8,8467.82,13777.05,0
1,CASH_IN,7818.05,1830.98,1171.71,16722.28,19414.34,0
1,CASH_OUT,2744.69,3193.92,2398.78,17432.64,18753.41,0
1,CASH_IN,2814.57,4342.95,3401.2,13837.71,14690.85,0
1,CASH_OUT,18913.51,34702.12,18839.65,9533.31,13181.32,1
1,DEBIT,1496.32,6571.68,5498.24,19880.37,20704.89,0
1,PAYMENT,6794.46,9767.62,5988.73,18798.96,21021.53,0
1,CASH_IN,2013.84,15162.38,12050.59,10703.47,10973.7,0
1,CASH_OUT,2986.43,3394.42,3044.64,13202.17,15846.97,0
1,DEBIT,2135.72,202926.01,92541.85,12098.23,13193.83,0
1,TRANSFER,1496.19,36761.78,31162.28,7039.85,8293.02,0
1,PAYMENT,4994.1,14748.38,10433.53,13907.16,18119.25,0
